"MST.nummer";"Unikt.prøvesæt.nummer";"Noter.på.plastic.posen";"Konc.målt.på.Qubit._ng.uL";"Dato.for.ekstraktion";"Ekstraktionsnummer";"Noter2";"Elueringvolumen.AE.buffer.uL";"Sub_Nmb_for_extraction";"Dato_for_indsml";"X.Noter2";"U_Pr_Nr";"MSTno_di";"wdt"
"317";"MST0377";"4";NA;"4.74";"2020-okt-19";"MST-SX12";NA;"350";"12_04";"2020-05-18";NA;"MST0377";"MST0377::2020-05-18";FALSE
"351";"MST0378";"5";NA;"12";"2020-okt-22";"MST-SX13";NA;"350";"13_05";"2020-05-28";NA;"MST0378";"MST0378::2020-05-28";FALSE
"403";"MST0379";"7";NA;"5.65";"2020-nov-17";"MST-SX16";NA;"350";"16_07";"#N/A-NA-#N/A";NA;"MST0379";"MST0379::#N/A-NA-#N/A";FALSE
"286";"MST0381";"21";NA;"4.1";"2020-sep-08";"MST-SX10";NA;"350";"10_21";"2019-08-07";NA;"MST0381";"MST0381::2019-08-07";FALSE
"404";"MST0382";"8";NA;"7.55";"2020-nov-17";"MST-SX16";NA;"350";"16_08";"#N/A-NA-#N/A";NA;"MST0382";"MST0382::#N/A-NA-#N/A";FALSE
"445";"MST0384";"3";NA;"3.37";"2020-dec-01";"MST-SX18";NA;"350";"18_03";"2020-05-15";NA;"MST0384";"MST0384::2020-05-15";FALSE
"352";"MST0385";"6";NA;"16.2";"2020-okt-22";"MST-SX13";NA;"350";"13_06";"2020-06-10";NA;"MST0385";"MST0385::2020-06-10";FALSE
"432";"MST0386";"2";NA;"6.8";"2020-nov-20";"MST-SX17";NA;"350";"17_02";"2020-05-15";NA;"MST0386";"MST0386::2020-05-15";FALSE
"377";"MST0387";"5";NA;"4.36";"2020-okt-29";"MST-SX15";NA;"350";"15_05";"#N/A-NA-#N/A";NA;"MST0387";"MST0387::#N/A-NA-#N/A";FALSE
"446";"MST0389";"4";NA;"3.72";"2020-dec-01";"MST-SX18";NA;"350";"18_04";"2020-05-15";NA;"MST0389";"MST0389::2020-05-15";FALSE
"378";"MST0390";"6";NA;"5.8";"2020-okt-29";"MST-SX15";NA;"350";"15_06";"#N/A-NA-#N/A";NA;"MST0390";"MST0390::#N/A-NA-#N/A";FALSE
"379";"MST0391";"7";NA;"3.1";"2020-okt-29";"MST-SX15";NA;"350";"15_07";"2020-06-02";NA;"MST0391";"MST0391::2020-06-02";FALSE
"380";"MST0392";"8";NA;"2.72";"2020-okt-29";"MST-SX15";NA;"350";"15_08";"2020-06-04";NA;"MST0392";"MST0392::2020-06-04";FALSE
"248";"MST0393";"16";NA;"3.77";"2020-aug-27";"MST-SX09";NA;"350";"09_16";"2019-08-27";NA;"MST0393";"MST0393::2019-08-27";FALSE
"482";"MST0394";"2";NA;"3.46";"2021-mar-31";"MST-SX20";NA;"350";"20_02";"2020-05-15";NA;"MST0394";"MST0394::2020-05-15";FALSE
"353";"MST0395";"7";NA;"6.25";"2020-okt-22";"MST-SX13";NA;"350";"13_07";"2020-06-10";NA;"MST0395";"MST0395::2020-06-10";FALSE
"381";"MST0396";"9";NA;"4.6";"2020-okt-29";"MST-SX15";NA;"350";"15_09";"2020-05-26";NA;"MST0396";"MST0396::2020-05-26";FALSE
"354";"MST0397";"8";NA;"6.75";"2020-okt-22";"MST-SX13";NA;"350";"13_08";"#N/A-NA-#N/A";NA;"MST0397";"MST0397::#N/A-NA-#N/A";FALSE
"355";"MST0398";"9";NA;"3.32";"2020-okt-22";"MST-SX13";NA;"350";"13_09";"2020-06-04";NA;"MST0398";"MST0398::2020-06-04";FALSE
"318";"MST0400";"5";NA;"1.3";"2020-okt-19";"MST-SX12";NA;"350";"12_05";"#N/A-NA-#N/A";NA;"MST0400";"MST0400::#N/A-NA-#N/A";FALSE
"319";"MST0401";"6";NA;"3.46";"2020-okt-19";"MST-SX12";NA;"350";"12_06";"#N/A-NA-#N/A";NA;"MST0401";"MST0401::#N/A-NA-#N/A";FALSE
"382";"MST0402";"10";NA;"8.4";"2020-okt-29";"MST-SX15";NA;"350";"15_10";"2020-03-09";NA;"MST0402";"MST0402::2020-03-09";FALSE
"320";"MST0404";"7";NA;"3.48";"2020-okt-19";"MST-SX12";NA;"350";"12_07";"#N/A-NA-#N/A";NA;"MST0404";"MST0404::#N/A-NA-#N/A";FALSE
"356";"MST0405";"10";NA;"7.35";"2020-okt-22";"MST-SX13";NA;"350";"13_10";"2020-05-28";NA;"MST0405";"MST0405::2020-05-28";FALSE
"364";"MST0406";"1";NA;"6.5";"2020-okt-27";"MST-SX14";NA;"350";"14_01";"2020-09-03";NA;"MST0406";"MST0406::2020-09-03";FALSE
"321";"MST0407";"8";NA;"10.6";"2020-okt-19";"MST-SX12";NA;"350";"12_08";"#N/A-NA-#N/A";NA;"MST0407";"MST0407::#N/A-NA-#N/A";FALSE
"383";"MST0408";"11";NA;"11.2";"2020-okt-29";"MST-SX15";NA;"350";"15_11";"#N/A-NA-#N/A";NA;"MST0408";"MST0408::#N/A-NA-#N/A";FALSE
"384";"MST0409";"12";NA;"3";"2020-okt-29";"MST-SX15";NA;"350";"15_12";"2020-05-26";NA;"MST0409";"MST0409::2020-05-26";FALSE
"357";"MST0412";"11";NA;"4.02";"2020-okt-22";"MST-SX13";NA;"350";"13_11";"#N/A-NA-#N/A";NA;"MST0412";"MST0412::#N/A-NA-#N/A";FALSE
"483";"MST0413";"3";"413, NOR7715, Fytoplankton, 413, 429, 430, NOR7715, 24-09-2019";"0.965";"2021-mar-31";"MST-SX20";NA;"350";"20_03";"#N/A-NA-#N/A";NA;"MST0413";"MST0413::#N/A-NA-#N/A";FALSE
"195";"MST0414";"12";NA;"2.56";"2020-jun-08";"MST-SX06";NA;"350";"06_12";"2019-05-14";NA;"MST0414";"MST0414::2019-05-14";FALSE
"385";"MST0415";"13";NA;"3.6";"2020-okt-29";"MST-SX15";NA;"350";"15_13";"2020-06-03";NA;"MST0415";"MST0415::2020-06-03";FALSE
"322";"MST0416";"9";NA;"7";"2020-okt-19";"MST-SX12";NA;"350";"12_09";"2020-06-03";NA;"MST0416";"MST0416::2020-06-03";FALSE
"405";"MST0418";"9";NA;"17";"2020-nov-17";"MST-SX16";NA;"350";"16_09";"#N/A-NA-#N/A";NA;"MST0418";"MST0418::#N/A-NA-#N/A";FALSE
"203";"MST0419";"3";NA;"4.16";"2020-jun-26";"MST-SX07";NA;"350";"07_03";"#N/A-NA-#N/A";NA;"MST0419";"MST0419::#N/A-NA-#N/A";FALSE
"764";"MST0420";"19";"ingen info på plastposen";"10.7";"2024-feb-05";"MST-SX33";NA;"400";"33_19";"2023-04-21";NA;"MST0420";"MST0420::2023-04-21";FALSE
"484";"MST0421";"4";"421, DATO: 15/05-2020, Lokation: ARH17006, dybde: 1 m";"2.04";"2021-mar-31";"MST-SX20";NA;"350";"20_04";"2020-05-15";NA;"MST0421";"MST0421::2020-05-15";FALSE
"204";"MST0422";"4";NA;"12.6";"2020-jun-26";"MST-SX07";NA;"350";"07_04";"2019-08-26";NA;"MST0422";"MST0422::2019-08-26";FALSE
"249";"MST0423";"17";NA;"7.05";"2020-aug-27";"MST-SX09";NA;"350";"09_17";"2019-04-02";NA;"MST0423";"MST0423::2019-04-02";FALSE
"365";"MST0424";"2";NA;"11.2";"2020-okt-27";"MST-SX14";NA;"350";"14_02";"2020-05-12";NA;"MST0424";"MST0424::2020-05-12";FALSE
"406";"MST0425";"10";NA;"13.6";"2020-nov-17";"MST-SX16";NA;"350";"16_10";"#N/A-NA-#N/A";NA;"MST0425";"MST0425::#N/A-NA-#N/A";FALSE
"366";"MST0426";"3";NA;"5.8";"2020-okt-27";"MST-SX14";NA;"350";"14_03";"2020-09-03";NA;"MST0426";"MST0426::2020-09-03";FALSE
"205";"MST0427";"5";NA;"8.8";"2020-jun-26";"MST-SX07";NA;"350";"07_05";"#N/A-NA-#N/A";NA;"MST0427";"MST0427::#N/A-NA-#N/A";FALSE
"250";"MST0429";"18";NA;"4.72";"2020-aug-27";"MST-SX09";NA;"350";"09_18";"2019-09-24";NA;"MST0429";"MST0429::2019-09-24";FALSE
"206";"MST0430";"6";NA;"9.6";"2020-jun-26";"MST-SX07";NA;"350";"07_06";"2019-09-24";NA;"MST0430";"MST0430::2019-09-24";FALSE
"433";"MST0432";"3";NA;"4.14";"2020-nov-20";"MST-SX17";NA;"350";"17_03";"2020-05-15";NA;"MST0432";"MST0432::2020-05-15";FALSE
"447";"MST0433";"5";NA;"10.2";"2020-dec-01";"MST-SX18";NA;"350";"18_05";"#N/A-NA-#N/A";NA;"MST0433";"MST0433::#N/A-NA-#N/A";FALSE
"434";"MST0434";"4";NA;"0.655";"2020-nov-20";"MST-SX17";NA;"350";"17_04";"2020-08-31";NA;"MST0434";"MST0434::2020-08-31";FALSE
"407";"MST0435";"11";NA;"8.3";"2020-nov-17";"MST-SX16";NA;"350";"16_11";"#N/A-NA-#N/A";NA;"MST0435";"MST0435::#N/A-NA-#N/A";FALSE
"408";"MST0436";"12";NA;"0.434";"2020-nov-17";"MST-SX16";NA;"350";"16_12";"#N/A-NA-#N/A";NA;"MST0436";"MST0436::#N/A-NA-#N/A";FALSE
"409";"MST0438";"13";NA;"6.3";"2020-nov-17";"MST-SX16";NA;"350";"16_13";"#N/A-NA-#N/A";NA;"MST0438";"MST0438::#N/A-NA-#N/A";FALSE
"410";"MST0439";"14";NA;"11.6";"2020-nov-17";"MST-SX16";NA;"350";"16_14";"#N/A-NA-#N/A";NA;"MST0439";"MST0439::#N/A-NA-#N/A";FALSE
"251";"MST0440";"19";NA;"14.2";"2020-aug-27";"MST-SX09";NA;"350";"09_19";"#N/A-NA-#N/A";NA;"MST0440";"MST0440::#N/A-NA-#N/A";FALSE
"287";"MST0441";"22";NA;"6.45";"2020-sep-08";"MST-SX10";NA;"350";"10_22";"2019-08-27";NA;"MST0441";"MST0441::2019-08-27";FALSE
"641";"MST0442";"24";"Fyto Hirtshals, 24/6-22, MST442 & MST444";"12.4";"'2023-jan31";"MST-SX27";NA;"400";"27_24";"2022-06-24";NA;"MST0442";"MST0442::2022-06-24";FALSE
"765";"MST0443";"20";"ingen info på plastposen";"11";"2024-feb-05";"MST-SX33";NA;"400";"33_20";"2023-04-21";NA;"MST0443";"MST0443::2023-04-21";FALSE
"631";"MST0444";"14";"Fyto Hirtshals, 24/6-22, MST442 & MST444";"6.5";"'2023-jan31";"MST-SX27";NA;"400";"27_14";"2022-06-24";NA;"MST0444";"MST0444::2022-06-24";FALSE
"411";"MST0445";"15";NA;"18.8";"2020-nov-17";"MST-SX16";NA;"350";"16_15";"#N/A-NA-#N/A";NA;"MST0445";"MST0445::#N/A-NA-#N/A";FALSE
"412";"MST0446";"16";NA;"5.05";"2020-nov-17";"MST-SX16";NA;"350";"16_16";"#N/A-NA-#N/A";NA;"MST0446";"MST0446::#N/A-NA-#N/A";FALSE
"435";"MST0447";"5";NA;"16.9";"2020-nov-20";"MST-SX17";NA;"350";"17_05";"#N/A-NA-#N/A";NA;"MST0447";"MST0447::#N/A-NA-#N/A";FALSE
"323";"MST0448";"10";NA;"5.3";"2020-okt-19";"MST-SX12";NA;"350";"12_10";"#N/A-NA-#N/A";NA;"MST0448";"MST0448::#N/A-NA-#N/A";FALSE
"252";"MST0449";"20";NA;"10.3";"2020-aug-27";"MST-SX09";NA;"350";"09_20";"2019-08-26";NA;"MST0449";"MST0449::2019-08-26";FALSE
"207";"MST0450";"7";NA;"5.2";"2020-jun-26";"MST-SX07";NA;"350";"07_07";"2019-08-27";NA;"MST0450";"MST0450::2019-08-27";FALSE
"485";"MST0451";"5";NA;"7";"2021-mar-31";"MST-SX20";NA;"350";"20_05";"2020-05-13";NA;"MST0451";"MST0451::2020-05-13";FALSE
"486";"MST0452";"6";NA;"4.1";"2021-mar-31";"MST-SX20";NA;"350";"20_06";"#N/A-NA-#N/A";NA;"MST0452";"MST0452::#N/A-NA-#N/A";FALSE
"196";"MST0453";"13";NA;"4.34";"2020-jun-08";"MST-SX06";NA;"350";"06_13";"2019-05-09";NA;"MST0453";"MST0453::2019-05-09";FALSE
"649";"MST0454";"7";NA;"1.6";"2023-feb-10";"MST-SX28";NA;"400";"28_07";"2022-07-04";NA;"MST0454";"MST0454::2022-07-04";FALSE
"487";"MST0455";"7";"460, 156, 455, 1/9-20, NOR7715, Plankton";"3.16";"2021-mar-31";"MST-SX20";NA;"350";"20_07";"2020-05-15";NA;"MST0455";"MST0455::2020-05-15";FALSE
"253";"MST0456";"21";NA;"5.4";"2020-aug-27";"MST-SX09";NA;"350";"09_21";"#N/A-NA-#N/A";NA;"MST0456";"MST0456::#N/A-NA-#N/A";FALSE
"254";"MST0457";"22";NA;"4.6";"2020-aug-27";"MST-SX09";NA;"350";"09_22";"2019-05-09";NA;"MST0457";"MST0457::2019-05-09";FALSE
"367";"MST0459";"4";NA;"2.34";"2020-okt-27";"MST-SX14";NA;"350";"14_04";"2020-09-01";NA;"MST0459";"MST0459::2020-09-01";FALSE
"436";"MST0460";"6";NA;"8.05";"2020-nov-20";"MST-SX17";NA;"350";"17_06";"2020-05-15";NA;"MST0460";"MST0460::2020-05-15";FALSE
"309";"MST0461";"12";"Prøven er udgået, da den ved et uhled blev blandet sammen med en anden prøve";"0";"2020-sep-15";"MST-SX11";NA;"350";"11_12";"2019-06-27";NA;"MST0461";"MST0461::2019-06-27";FALSE
"358";"MST0462";"12";NA;"7.75";"2020-okt-22";"MST-SX13";NA;"350";"13_12";"2020-03-09";NA;"MST0462";"MST0462::2020-03-09";FALSE
"413";"MST0463";"17";NA;"18.2";"2020-nov-17";"MST-SX16";NA;"350";"16_17";"#N/A-NA-#N/A";NA;"MST0463";"MST0463::#N/A-NA-#N/A";FALSE
"255";"MST0464";"23";NA;"5.1";"2020-aug-27";"MST-SX09";NA;"350";"09_23";"2019-09-05";NA;"MST0464";"MST0464::2019-09-05";FALSE
"256";"MST0465";"24";NA;"2.62";"2020-aug-27";"MST-SX09";NA;"350";"09_24";"#N/A-NA-#N/A";NA;"MST0465";"MST0465::#N/A-NA-#N/A";FALSE
"288";"MST0468";"23";NA;"7.85";"2020-sep-08";"MST-SX10";NA;"350";"10_23";"2019-06-27";NA;"MST0468";"MST0468::2019-06-27";FALSE
"257";"MST0470";"25";NA;"3.4";"2020-aug-27";"MST-SX09";NA;"350";"09_25";"2019-05-14";NA;"MST0470";"MST0470::2019-05-14";FALSE
"208";"MST0471";"8";NA;"23";"2020-jun-26";"MST-SX07";NA;"350";"07_08";"2019-08-28";NA;"MST0471";"MST0471::2019-08-28";FALSE
"209";"MST0473";"9";NA;"7.2";"2020-jun-26";"MST-SX07";NA;"350";"07_09";"#N/A-NA-#N/A";NA;"MST0473";"MST0473::#N/A-NA-#N/A";FALSE
"258";"MST0475";"26";NA;"5.9";"2020-aug-27";"MST-SX09";NA;"350";"09_26";"#N/A-NA-#N/A";NA;"MST0475";"MST0475::#N/A-NA-#N/A";FALSE
"229";"MST0476";"13";NA;"22.8";"2020-jun-30";"MST-SX08";NA;"350";"08_13";"#N/A-NA-#N/A";NA;"MST0476";"MST0476::#N/A-NA-#N/A";FALSE
"414";"MST0477";"18";NA;"7.7";"2020-nov-17";"MST-SX16";NA;"350";"16_18";"#N/A-NA-#N/A";NA;"MST0477";"MST0477::#N/A-NA-#N/A";FALSE
"386";"MST0478";"14";NA;"2.02";"2020-okt-29";"MST-SX15";NA;"350";"15_14";"2020-09-01";NA;"MST0478";"MST0478::2020-09-01";FALSE
"415";"MST0479";"19";NA;"20.7";"2020-nov-17";"MST-SX16";NA;"350";"16_19";"#N/A-NA-#N/A";NA;"MST0479";"MST0479::#N/A-NA-#N/A";FALSE
"387";"MST0480";"15";NA;"6.15";"2020-okt-29";"MST-SX15";NA;"350";"15_15";"2020-03-09";NA;"MST0480";"MST0480::2020-03-09";FALSE
"259";"MST0481";"27";NA;"13.6";"2020-aug-27";"MST-SX09";NA;"350";"09_27";"#N/A-NA-#N/A";NA;"MST0481";"MST0481::#N/A-NA-#N/A";FALSE
"210";"MST0482";"10";NA;"8";"2020-jun-26";"MST-SX07";NA;"350";"07_10";"2019-09-05";NA;"MST0482";"MST0482::2019-09-05";FALSE
"197";"MST0483";"14";NA;"1.68";"2020-jun-08";"MST-SX06";NA;"350";"06_14";"2019-05-01";NA;"MST0483";"MST0483::2019-05-01";FALSE
"289";"MST0484";"24";NA;"0.236";"2020-sep-08";"MST-SX10";NA;"350";"10_24";"2019-05-01";NA;"MST0484";"MST0484::2019-05-01";FALSE
"198";"MST0486";"15";NA;"5.55";"2020-jun-08";"MST-SX06";"Ekstraktioner fra NOVANA MST -filterprøver indsamlet 2018-2019-2020";"350";"06_15";"2019-06-12";NA;"MST0486";"MST0486::2019-06-12";FALSE
"416";"MST0487";"20";NA;"13.6";"2020-nov-17";"MST-SX16";NA;"350";"16_20";"#N/A-NA-#N/A";NA;"MST0487";"MST0487::#N/A-NA-#N/A";FALSE
"448";"MST0488";"6";NA;"10.8";"2020-dec-01";"MST-SX18";NA;"350";"18_06";"#N/A-NA-#N/A";NA;"MST0488";"MST0488::#N/A-NA-#N/A";FALSE
"230";"MST0489";"14";NA;"4.24";"2020-jun-30";"MST-SX08";NA;"350";"08_14";"2019-04-02";NA;"MST0489";"MST0489::2019-04-02";FALSE
"290";"MST0490";"25";NA;"13.4";"2020-sep-08";"MST-SX10";NA;"350";"10_25";"#N/A-NA-#N/A";NA;"MST0490";"MST0490::#N/A-NA-#N/A";FALSE
"310";"MST0491";"13";NA;"7.75";"2020-sep-15";"MST-SX11";NA;"350";"11_13";"2019-08-26";NA;"MST0491";"MST0491::2019-08-26";FALSE
"291";"MST0492";"26";NA;"8.15";"2020-sep-08";"MST-SX10";NA;"350";"10_26";"2019-08-27";NA;"MST0492";"MST0492::2019-08-27";FALSE
"292";"MST0493";"27";NA;"0.342";"2020-sep-08";"MST-SX10";NA;"350";"10_27";"2019-05-14";NA;"MST0493";"MST0493::2019-05-14";FALSE
"368";"MST0494";"5";NA;"2.65";"2020-okt-27";"MST-SX14";NA;"350";"14_05";"2020-09-01";NA;"MST0494";"MST0494::2020-09-01";FALSE
"417";"MST0495";"21";NA;"10";"2020-nov-17";"MST-SX16";NA;"350";"16_21";"#N/A-NA-#N/A";NA;"MST0495";"MST0495::#N/A-NA-#N/A";FALSE
"293";"MST0496";"28";NA;"3.6";"2020-sep-08";"MST-SX10";NA;"350";"10_28";"2019-05-09";NA;"MST0496";"MST0496::2019-05-09";FALSE
"260";"MST0497";"28";NA;"13.8";"2020-aug-27";"MST-SX09";NA;"350";"09_28";"2019-08-28";NA;"MST0497";"MST0497::2019-08-28";FALSE
"211";"MST0498";"11";NA;"6.25";"2020-jun-26";"MST-SX07";NA;"350";"07_11";"2019-08-27";NA;"MST0498";"MST0498::2019-08-27";FALSE
"369";"MST0500";"6";NA;"10.4";"2020-okt-27";"MST-SX14";NA;"350";"14_06";"2020-05-12";NA;"MST0500";"MST0500::2020-05-12";FALSE
"449";"MST0501";"7";NA;"7.55";"2020-dec-01";"MST-SX18";NA;"350";"18_07";"#N/A-NA-#N/A";NA;"MST0501";"MST0501::#N/A-NA-#N/A";FALSE
"294";"MST0502";"29";NA;"6.3";"2020-sep-08";"MST-SX10";NA;"350";"10_29";"2019-08-26";NA;"MST0502";"MST0502::2019-08-26";FALSE
"418";"MST0503";"22";NA;"11";"2020-nov-17";"MST-SX16";NA;"350";"16_22";"#N/A-NA-#N/A";NA;"MST0503";"MST0503::#N/A-NA-#N/A";FALSE
"488";"MST0504";"8";NA;"4.24";"2021-mar-31";"MST-SX20";NA;"350";"20_08";"#N/A-NA-#N/A";NA;"MST0504";"MST0504::#N/A-NA-#N/A";FALSE
"199";"MST0505";"16";NA;"3.97";"2020-jun-08";"MST-SX06";"Ekstraktioner fra NOVANA MST -filterprøver indsamlet 2018-2019-2020";"350";"06_16";"2019-04-02";NA;"MST0505";"MST0505::2019-04-02";FALSE
"450";"MST0506";"8";NA;"12.2";"2020-dec-01";"MST-SX18";NA;"350";"18_08";"#N/A-NA-#N/A";NA;"MST0506";"MST0506::#N/A-NA-#N/A";FALSE
"370";"MST0508";"7";NA;"5.5";"2020-okt-27";"MST-SX14";NA;"350";"14_07";"2020-09-03";NA;"MST0508";"MST0508::2020-09-03";FALSE
"261";"MST0509";"29";NA;"6.45";"2020-aug-27";"MST-SX09";NA;"350";"09_29";"2019-09-24";NA;"MST0509";"MST0509::2019-09-24";FALSE
"419";"MST0510";"23";NA;"19.4";"2020-nov-17";"MST-SX16";NA;"350";"16_23";"#N/A-NA-#N/A";NA;"MST0510";"MST0510::#N/A-NA-#N/A";FALSE
"388";"MST0511";"16";NA;"6.5";"2020-okt-29";"MST-SX15";NA;"350";"15_16";"#N/A-NA-#N/A";NA;"MST0511";"MST0511::#N/A-NA-#N/A";FALSE
"324";"MST0512";"11";NA;"6.7";"2020-okt-19";"MST-SX12";NA;"350";"12_11";"2020-06-03";NA;"MST0512";"MST0512::2020-06-03";FALSE
"437";"MST0514";"7";NA;"10.6";"2020-nov-20";"MST-SX17";NA;"350";"17_07";"2020-03-09";NA;"MST0514";"MST0514::2020-03-09";TRUE
"359";"MST0515";"13";NA;"10.8";"2020-okt-22";"MST-SX13";NA;"350";"13_13";"#N/A-NA-#N/A";NA;"MST0515";"MST0515::#N/A-NA-#N/A";FALSE
"262";"MST0516";"30";NA;"3.84";"2020-aug-27";"MST-SX09";NA;"350";"09_30";"2019-05-01";NA;"MST0516";"MST0516::2019-05-01";FALSE
"311";"MST0517";"14";NA;"7.7";"2020-sep-15";"MST-SX11";NA;"350";"11_14";"2019-08-26";NA;"MST0517";"MST0517::2019-08-26";FALSE
"212";"MST0518";"12";NA;"13.8";"2020-jun-26";"MST-SX07";NA;"350";"07_12";"#N/A-NA-#N/A";NA;"MST0518";"MST0518::#N/A-NA-#N/A";FALSE
"420";"MST0519";"24";NA;"27.5";"2020-nov-17";"MST-SX16";NA;"350";"16_24";"#N/A-NA-#N/A";NA;"MST0519";"MST0519::#N/A-NA-#N/A";FALSE
"263";"MST0520";"31";NA;"9.4";"2020-aug-27";"MST-SX09";NA;"350";"09_31";"2019-09-02";NA;"MST0520";"MST0520::2019-09-02";FALSE
"213";"MST0521";"13";NA;"16.6";"2020-jun-26";"MST-SX07";NA;"350";"07_13";"2019-08-07";NA;"MST0521";"MST0521::2019-08-07";FALSE
"421";"MST0522";"25";NA;"12.2";"2020-nov-17";"MST-SX16";NA;"350";"16_25";"#N/A-NA-#N/A";NA;"MST0522";"MST0522::#N/A-NA-#N/A";FALSE
"438";"MST0523";"8";NA;"12.4";"2020-nov-20";"MST-SX17";NA;"350";"17_08";"2020-05-13";NA;"MST0523";"MST0523::2020-05-13";FALSE
"451";"MST0526";"9";NA;"5.9";"2020-dec-01";"MST-SX18";NA;"350";"18_09";"2020-05-13";NA;"MST0526";"MST0526::2020-05-13";FALSE
"214";"MST0527";"14";NA;"10.6";"2020-jun-26";"MST-SX07";NA;"350";"07_14";"#N/A-NA-#N/A";NA;"MST0527";"MST0527::#N/A-NA-#N/A";FALSE
"452";"MST0528";"10";NA;"2.44";"2020-dec-01";"MST-SX18";NA;"350";"18_10";"2020-05-14";NA;"MST0528";"MST0528::2020-05-14";FALSE
"453";"MST0529";"11";NA;"1.6";"2020-dec-01";"MST-SX18";NA;"350";"18_11";"2020-05-14";NA;"MST0529";"MST0529::2020-05-14";FALSE
"439";"MST0530";"9";NA;"5.7";"2020-nov-20";"MST-SX17";NA;"350";"17_09";"2020-05-15";NA;"MST0530";"MST0530::2020-05-15";FALSE
"440";"MST0533";"10";NA;"7.85";"2020-nov-20";"MST-SX17";NA;"350";"17_10";"2020-05-13";NA;"MST0533";"MST0533::2020-05-13";FALSE
"371";"MST0534";"8";NA;"13.6";"2020-okt-27";"MST-SX14";NA;"350";"14_08";"2020-05-12";NA;"MST0534";"MST0534::2020-05-12";FALSE
"389";"MST0535";"17";NA;"7.1";"2020-okt-29";"MST-SX15";NA;"350";"15_17";"2020-03-09";NA;"MST0535";"MST0535::2020-03-09";FALSE
"422";"MST0536";"26";NA;"4.22";"2020-nov-17";"MST-SX16";NA;"350";"16_26";"#N/A-NA-#N/A";NA;"MST0536";"MST0536::#N/A-NA-#N/A";FALSE
"390";"MST0537";"18";NA;"1";"2020-okt-29";"MST-SX15";NA;"350";"15_18";"2020-03-09";NA;"MST0537";"MST0537::2020-03-09";FALSE
"454";"MST0538";"12";NA;"10.6";"2020-dec-01";"MST-SX18";NA;"350";"18_12";"2020-05-13";NA;"MST0538";"MST0538::2020-05-13";FALSE
"325";"MST0539";"12";NA;"5.95";"2020-okt-19";"MST-SX12";NA;"350";"12_12";"2020-06-25";NA;"MST0539";"MST0539::2020-06-25";FALSE
"441";"MST0547";"11";NA;"10";"2020-nov-20";"MST-SX17";NA;"350";"17_11";"2020-08-31";NA;"MST0547";"MST0547::2020-08-31";FALSE
"295";"MST0548";"30";NA;"2.36";"2020-sep-08";"MST-SX10";NA;"350";"10_30";"#N/A-NA-#N/A";NA;"MST0548";"MST0548::#N/A-NA-#N/A";FALSE
"360";"MST0549";"14";NA;"6.1";"2020-okt-22";"MST-SX13";NA;"350";"13_14";"2020-06-10";NA;"MST0549";"MST0549::2020-06-10";FALSE
"326";"MST0550";"13";NA;"4.86";"2020-okt-19";"MST-SX12";NA;"350";"12_13";"2020-05-18";NA;"MST0550";"MST0550::2020-05-18";FALSE
"327";"MST0551";"14";NA;"4.88";"2020-okt-19";"MST-SX12";NA;"350";"12_14";"2020-06-02";NA;"MST0551";"MST0551::2020-06-02";FALSE
"328";"MST0552";"15";NA;"4.22";"2020-okt-19";"MST-SX12";NA;"350";"12_15";"2020-06-25";NA;"MST0552";"MST0552::2020-06-25";FALSE
"391";"MST0553";"19";NA;"4.96";"2020-okt-29";"MST-SX15";NA;"350";"15_19";"2020-05-26";NA;"MST0553";"MST0553::2020-05-26";FALSE
"392";"MST0554";"20";NA;"0.65";"2020-okt-29";"MST-SX15";NA;"350";"15_20";"#N/A-NA-#N/A";NA;"MST0554";"MST0554::#N/A-NA-#N/A";FALSE
"329";"MST0555";"16";NA;"4.27";"2020-okt-19";"MST-SX12";NA;"350";"12_16";"2020-06-02";NA;"MST0555";"MST0555::2020-06-02";FALSE
"264";"MST0556";"32";NA;"6.9";"2020-aug-27";"MST-SX09";NA;"350";"09_32";"2019-06-12";NA;"MST0556";"MST0556::2019-06-12";FALSE
"361";"MST0557";"15";NA;"14.4";"2020-okt-22";"MST-SX13";NA;"350";"13_15";"2020-06-10";NA;"MST0557";"MST0557::2020-06-10";FALSE
"362";"MST0558";"16";NA;"4.08";"2020-okt-22";"MST-SX13";NA;"350";"13_16";"2020-06-04";NA;"MST0558";"MST0558::2020-06-04";FALSE
"423";"MST0559";"27";NA;"17.4";"2020-nov-17";"MST-SX16";NA;"350";"16_27";"#N/A-NA-#N/A";NA;"MST0559";"MST0559::#N/A-NA-#N/A";FALSE
"215";"MST0560";"15";NA;"16.5";"2020-jun-26";"MST-SX07";NA;"350";"07_15";"2019-09-24";NA;"MST0560";"MST0560::2019-09-24";FALSE
"296";"MST0561";"31";NA;"11.3";"2020-sep-08";"MST-SX10";NA;"350";"10_31";"#N/A-NA-#N/A";NA;"MST0561";"MST0561::#N/A-NA-#N/A";FALSE
"231";"MST0562";"15";NA;"5.45";"2020-jun-30";"MST-SX08";NA;"350";"08_15";"2019-06-12";NA;"MST0562";"MST0562::2019-06-12";FALSE
"330";"MST0563";"17";NA;"13.3";"2020-okt-19";"MST-SX12";NA;"350";"12_17";"2020-08-04";NA;"MST0563";"MST0563::2020-08-04";FALSE
