"","X","qpcrno","qpcr.rplno","lokalitet_vanda","volfilt_mL","declat","declon","plateno","Lat_Species","mnt","smpltp","smplNoSTEX","welltp","Genus","species","yea","ssn","MST.n_Dinds","aboveLOQ","NoCt","AbLOD_BeLOQ","belowLOD","freq_repl_eval","gen_specnm.qpcrno.pltn.MSTno.mnt","MSTD.LS.QN","NISfnd","orgF","yer","orgFnd","orgFnd2","ssnno","yer_ssn","yer_ssn2","lok_pos_lat","lok_pos_lon","MST.nummer","Dato_inds"
"12","12","qpcr0652","qpcr0652.18",96510125,"1200",55.027358,10.377598,"plt01","Crassostrea gigas","Apr","MST0055",NA,"Unknown","Magallana","gigas","2018","spri","MST0055_2018-04-24","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0055_2018-04-24_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.027358,10.377598,"MST0055_2018-04-24","2018-04-24"
"13","13","qpcr0652","qpcr0652.19",93500119,"1100",56.625617,10.590433,"plt01","Crassostrea gigas","Apr","MST0064",NA,"Unknown","Magallana","gigas","2018","spri","MST0064_2018-04-16","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0064_2018-04-16_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.625617,10.590433,"MST0064_2018-04-16","2018-04-16"
"14","14","qpcr0652","qpcr0652.19",93730002,"1100",56.956667,9.062333,"plt01","Crassostrea gigas","Jun","MST0076",NA,"Unknown","Magallana","gigas","2018","spri","MST0076_2018-06-06","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0076_2018-06-06_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.956667,9.062333,"MST0076_2018-06-06","2018-06-06"
"16","16","qpcr0652","qpcr0652.20",93740007,"500",56.620833,9.074833,"plt01","Crassostrea gigas","Jun","MST0088",NA,"Unknown","Magallana","gigas","2018","spri","MST0088_2018-06-07","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0088_2018-06-07_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.620833,9.074833,"MST0088_2018-06-07","2018-06-07"
"17","17","qpcr0652","qpcr0652.20",95700008,"1000",54.842127,9.819387,"plt01","Crassostrea gigas","Mar","MST0067",NA,"Unknown","Magallana","gigas","2018","spri","MST0067_2018-03-21","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0067_2018-03-21_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",54.842127,9.819387,"MST0067_2018-03-21","2018-03-21"
"18","18","qpcr0652","qpcr0652.21",93920064,"1600",57.540783,10.479267,"plt01","Crassostrea gigas","Jun","MST0132",NA,"Unknown","Magallana","gigas","2018","spri","MST0132_2018-06-27","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0132_2018-06-27_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",57.540783,10.479267,"MST0132_2018-06-27","2018-06-27"
"19","19","qpcr0652","qpcr0652.21",95220322,"1500",55.139,11.515833,"plt01","Crassostrea gigas","Apr","MST0097",NA,"Unknown","Magallana","gigas","2018","spri","MST0097_2018-04-18","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0097_2018-04-18_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.139,11.515833,"MST0097_2018-04-18","2018-04-18"
"20","20","qpcr0652","qpcr0652.22",91320001,"1150",56.076167,8.224333,"plt01","Crassostrea gigas","Sep","MST0118",NA,"Unknown","Magallana","gigas","2017","fall","MST0118_2017-09-19","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0118_2017-09-19_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",56.076167,8.224333,"MST0118_2017-09-19","2017-09-19"
"21","21","qpcr0652","qpcr0652.22",93220011,"1500",55.713,12.066667,"plt01","Crassostrea gigas","Aug","MST0141",NA,"Unknown","Magallana","gigas","2018","fall","MST0141_2018-08-16","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0141_2018-08-16_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",55.713,12.066667,"MST0141_2018-08-16","2018-08-16"
"22","22","qpcr0652","qpcr0652.23",91500007,"1450",55.3375,8.350667,"plt01","Crassostrea gigas","Sep","MST0121",NA,"Unknown","Magallana","gigas","2017","fall","MST0121_2017-09-05","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0121_2017-09-05_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",55.3375,8.350667,"MST0121_2017-09-05","2017-09-05"
"23","23","qpcr0652","qpcr0652.23",94230001,"900",55.478233,10.518233,"plt01","Crassostrea gigas","Jun","MST0152",NA,"Unknown","Magallana","gigas","2018","spri","MST0152_2018-06-04","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0152_2018-06-04_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.478233,10.518233,"MST0152_2018-06-04","2018-06-04"
"24","24","qpcr0652","qpcr0652.24",92200001,"1350",57.607833,9.915333,"plt01","Crassostrea gigas","Oct","MST0131",NA,"Unknown","Magallana","gigas","2017","fall","MST0131_2017-10-10","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0131_2017-10-10_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",57.607833,9.915333,"MST0131_2017-10-10","2017-10-10"
"25","25","qpcr0652","qpcr0652.24",93740007,"900",56.620833,9.075833,"plt01","Crassostrea gigas","Aug","MST0220",NA,"Unknown","Magallana","gigas","2018","fall","MST0220_2018-08-30","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0220_2018-08-30_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",56.620833,9.075833,"MST0220_2018-08-30","2018-08-30"
"26","26","qpcr0652","qpcr0652.25",93000005,"1800",56.856667,10.791667,"plt01","Crassostrea gigas","Jun","MST0071",NA,"Unknown","Magallana","gigas","2018","spri","MST0071_2018-06-11","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0071_2018-06-11_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.856667,10.791667,"MST0071_2018-06-11","2018-06-11"
"27","27","qpcr0652","qpcr0652.25",93770056,"400",56.600833,8.414833,"plt01","Crassostrea gigas","Apr","MST0050",NA,"Unknown","Magallana","gigas","2018","spri","MST0050_2018-04-25","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0050_2018-04-25_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.600833,8.414833,"MST0050_2018-04-25","2018-04-25"
"28","28","qpcr0652","qpcr0652.26",93610032,"1610",56.659,9.973333,"plt01","Crassostrea gigas","Jun","MST0074",NA,"Unknown","Magallana","gigas","2018","spri","MST0074_2018-06-11","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0074_2018-06-11_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.659,9.973333,"MST0074_2018-06-11","2018-06-11"
"29","29","qpcr0652","qpcr0652.26",96510125,"1200",55.027358,10.377598,"plt01","Crassostrea gigas","Apr","MST0055",NA,"Unknown","Magallana","gigas","2018","spri","MST0055_2018-04-24","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0055_2018-04-24_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.027358,10.377598,"MST0055_2018-04-24","2018-04-24"
"30","30","qpcr0652","qpcr0652.27",93500119,"1100",56.625617,10.590433,"plt01","Crassostrea gigas","Apr","MST0064",NA,"Unknown","Magallana","gigas","2018","spri","MST0064_2018-04-16","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0064_2018-04-16_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.625617,10.590433,"MST0064_2018-04-16","2018-04-16"
"31","31","qpcr0652","qpcr0652.27",93730002,"1100",56.956667,9.062333,"plt01","Crassostrea gigas","Jun","MST0076",NA,"Unknown","Magallana","gigas","2018","spri","MST0076_2018-06-06","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0076_2018-06-06_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.956667,9.062333,"MST0076_2018-06-06","2018-06-06"
"32","32","qpcr0652","qpcr0652.28",93740007,"500",56.620833,9.074833,"plt01","Crassostrea gigas","Jun","MST0088",NA,"Unknown","Magallana","gigas","2018","spri","MST0088_2018-06-07","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0088_2018-06-07_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.620833,9.074833,"MST0088_2018-06-07","2018-06-07"
"33","33","qpcr0652","qpcr0652.28",95700008,"1000",54.842127,9.819387,"plt01","Crassostrea gigas","Mar","MST0067",NA,"Unknown","Magallana","gigas","2018","spri","MST0067_2018-03-21","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0067_2018-03-21_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",54.842127,9.819387,"MST0067_2018-03-21","2018-03-21"
"34","34","qpcr0652","qpcr0652.29",93920064,"1600",57.540783,10.479267,"plt01","Crassostrea gigas","Jun","MST0132",NA,"Unknown","Magallana","gigas","2018","spri","MST0132_2018-06-27","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0132_2018-06-27_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",57.540783,10.479267,"MST0132_2018-06-27","2018-06-27"
"35","35","qpcr0652","qpcr0652.29",95220322,"1500",55.139,11.515833,"plt01","Crassostrea gigas","Apr","MST0097",NA,"Unknown","Magallana","gigas","2018","spri","MST0097_2018-04-18","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0097_2018-04-18_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.139,11.515833,"MST0097_2018-04-18","2018-04-18"
"37","37","qpcr0652","qpcr0652.30",91320001,"1150",56.076167,8.224333,"plt01","Crassostrea gigas","Sep","MST0118",NA,"Unknown","Magallana","gigas","2017","fall","MST0118_2017-09-19","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0118_2017-09-19_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",56.076167,8.224333,"MST0118_2017-09-19","2017-09-19"
"38","38","qpcr0652","qpcr0652.30",93220011,"1500",55.713,12.066667,"plt01","Crassostrea gigas","Aug","MST0141",NA,"Unknown","Magallana","gigas","2018","fall","MST0141_2018-08-16","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0141_2018-08-16_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",55.713,12.066667,"MST0141_2018-08-16","2018-08-16"
"39","39","qpcr0652","qpcr0652.31",91500007,"1450",55.3375,8.350667,"plt01","Crassostrea gigas","Sep","MST0121",NA,"Unknown","Magallana","gigas","2017","fall","MST0121_2017-09-05","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0121_2017-09-05_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",55.3375,8.350667,"MST0121_2017-09-05","2017-09-05"
"40","40","qpcr0652","qpcr0652.31",94230001,"900",55.478233,10.518233,"plt01","Crassostrea gigas","Jun","MST0152",NA,"Unknown","Magallana","gigas","2018","spri","MST0152_2018-06-04","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0152_2018-06-04_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.478233,10.518233,"MST0152_2018-06-04","2018-06-04"
"41","41","qpcr0652","qpcr0652.32",92200001,"1350",57.607833,9.915333,"plt01","Crassostrea gigas","Oct","MST0131",NA,"Unknown","Magallana","gigas","2017","fall","MST0131_2017-10-10","0","1","0","0","'1/0/0/0'","Crassostrea gigas.qpcr0652..","MST0131_2017-10-10_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",57.607833,9.915333,"MST0131_2017-10-10","2017-10-10"
"42","42","qpcr0652","qpcr0652.32",93740007,"900",56.620833,9.075833,"plt01","Crassostrea gigas","Aug","MST0220",NA,"Unknown","Magallana","gigas","2018","fall","MST0220_2018-08-30","0","2","0","0","'2/0/0/0'","Crassostrea gigas.qpcr0652..","MST0220_2018-08-30_Crassostrea gigas_qpcr0652","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",56.620833,9.075833,"MST0220_2018-08-30","2018-08-30"
"48","48","qpcr0652","qpcr0652.9",99000052,"1500",54.999617,13.299867,"plt01","Crassostrea gigas","Aug","MST0003",NA,"Unknown","Magallana","gigas","2017","fall","MST0003_2017-08-30","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0652..","MST0003_2017-08-30_Crassostrea gigas_qpcr0652","FALSE","FALSE",2017,FALSE,0,"2nd","2017, 2nd halvår","2017, jul - nov",54.999617,13.299867,"MST0003_2017-08-30","2017-08-30"
"50","50","qpcr0653","qpcr0653.10",93730002,"700",56.954,9.062333,"plt02","Crassostrea gigas","Aug","MST0227",NA,"Unknown","Magallana","gigas","2018","fall","MST0227_2018-08-29","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0227_2018-08-29_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",56.954,9.062333,"MST0227_2018-08-29","2018-08-29"
"51","51","qpcr0653","qpcr0653.11",97230016,"1600",55.968167,12.566,"plt02","Crassostrea gigas","Jun","MST0230",NA,"Unknown","Magallana","gigas","2018","spri","MST0230_2018-06-27","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0230_2018-06-27_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.968167,12.566,"MST0230_2018-06-27","2018-06-27"
"52","52","qpcr0653","qpcr0653.12",95600002,"1300",54.9975,10.160833,"plt02","Crassostrea gigas","Aug","MST0231",NA,"Unknown","Magallana","gigas","2018","fall","MST0231_2018-08-17","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0231_2018-08-17_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",54.9975,10.160833,"MST0231_2018-08-17","2018-08-17"
"53","53","qpcr0653","qpcr0653.13",95600002,"1500",54.997398,10.161378,"plt02","Crassostrea gigas","Aug","MST0244",NA,"Unknown","Magallana","gigas","2018","fall","MST0244_2018-08-28","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0244_2018-08-28_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",54.997398,10.161378,"MST0244_2018-08-28","2018-08-28"
"54","54","qpcr0653","qpcr0653.14",94300001,"1600",55.674047,10.090607,"plt02","Crassostrea gigas","Aug","MST0257",NA,"Unknown","Magallana","gigas","2018","fall","MST0257_2018-08-23","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0257_2018-08-23_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"2nd","2018, 2nd halvår","2018, jul - nov",55.674047,10.090607,"MST0257_2018-08-23","2018-08-23"
"55","55","qpcr0653","qpcr0653.15",93220011,"1500",55.713,12.066667,"plt02","Crassostrea gigas","Jun","MST0280",NA,"Unknown","Magallana","gigas","2018","spri","MST0280_2018-06-27","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0280_2018-06-27_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.713,12.066667,"MST0280_2018-06-27","2018-06-27"
"56","56","qpcr0653","qpcr0653.16",99000052,"1500",55.015833,13.296667,"plt02","Crassostrea gigas","May","MST0047",NA,"Unknown","Magallana","gigas","2018","spri","MST0047_2018-05-23","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0047_2018-05-23_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.015833,13.296667,"MST0047_2018-05-23","2018-05-23"
"57","57","qpcr0653","qpcr0653.17",95130028,"950",55.703333,9.668333,"plt02","Crassostrea gigas","Apr","MST0059",NA,"Unknown","Magallana","gigas","2018","spri","MST0059_2018-04-05","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0059_2018-04-05_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.703333,9.668333,"MST0059_2018-04-05","2018-04-05"
"58","58","qpcr0653","qpcr0653.18",94510035,"1100",56.183983,10.59145,"plt02","Crassostrea gigas","May","MST0061",NA,"Unknown","Magallana","gigas","2018","spri","MST0061_2018-05-28","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0061_2018-05-28_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.183983,10.59145,"MST0061_2018-05-28","2018-05-28"
"59","59","qpcr0653","qpcr0653.19",96700057,"1750",55.440283,10.803883,"plt02","Crassostrea gigas","May","MST0063",NA,"Unknown","Magallana","gigas","2018","spri","MST0063_2018-05-03","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0063_2018-05-03_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.440283,10.803883,"MST0063_2018-05-03","2018-05-03"
"61","61","qpcr0653","qpcr0653.20",94400007,"1500",56.15487,10.318345,"plt02","Crassostrea gigas","May","MST0070",NA,"Unknown","Magallana","gigas","2018","spri","MST0070_2018-05-15","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0070_2018-05-15_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.15487,10.318345,"MST0070_2018-05-15","2018-05-15"
"62","62","qpcr0653","qpcr0653.21",93000001,"1500",56.131333,11.157833,"plt02","Crassostrea gigas","May","MST0092",NA,"Unknown","Magallana","gigas","2018","spri","MST0092_2018-05-15","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0092_2018-05-15_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.131333,11.157833,"MST0092_2018-05-15","2018-05-15"
"63","63","qpcr0653","qpcr0653.22",97200002,"1500",55.865833,12.749167,"plt02","Crassostrea gigas","May","MST0100",NA,"Unknown","Magallana","gigas","2018","spri","MST0100_2018-05-14","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0100_2018-05-14_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.865833,12.749167,"MST0100_2018-05-14","2018-05-14"
"64","64","qpcr0653","qpcr0653.23",96220363,"1400",55.161633,11.65835,"plt02","Crassostrea gigas","Jul","MST0107",NA,"Unknown","Magallana","gigas","2018","spri","MST0107_2018-07-06","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0107_2018-07-06_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",55.161633,11.65835,"MST0107_2018-07-06","2018-07-06"
"65","65","qpcr0653","qpcr0653.24",91320001,"600",56.076167,8.224333,"plt02","Crassostrea gigas","May","MST0115",NA,"Unknown","Magallana","gigas","2018","spri","MST0115_2018-05-15","0","3","0","0","'3/0/0/0'","Crassostrea gigas.qpcr0653..","MST0115_2018-05-15_Crassostrea gigas_qpcr0653","FALSE","FALSE",2018,FALSE,0,"1st","2018, 1st halvår","2018, jan - jun",56.076167,8.224333,"MST0115_2018-05-15","2018-05-15"
"66","66","qpcr0653","qpcr0653.25",91650035,"300",55.0933,8.56825,"plt02","Crassostrea gigas","May","MST0126",NA,"Unknown","Magallana","gigas","2018","spri","MST0126_2018-05-25","0","0","3","0","'0/0/3/0'","Crassostrea gigas.qpcr0653..","MST0126_2018-05-25_Crassostrea gigas_qpcr0653","TRUE","TRUE",2018,TRUE,1,"1st","2018, 1st halvår","2018, jan - jun",55.0933,8.56825,"MST0126_2018-05-25","2018-05-25"
