"","qpcrno","qpcr.rplno","lokalitet_vanda","volfilt_mL","declat","declon","plateno","Lat_Species","mnt","smpltp","smplNoSTEX","welltp","Genus","species","yea","ssn","MST.n_Dinds","aboveLOQ","NoCt","AbLOD_BeLOQ","belowLOD","freq_repl_eval","gen_specnm.qpcrno.pltn.MSTno.mnt"
"11","qpcr0652","qpcr0652.18",93610032,1610,56.659,9.973333,"plt01","Crassostrea gigas","Jun","MST0074",NA,"Unknown","Magallana","gigas",2018,"spri","MST0074_2018-06-11",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"12","qpcr0652","qpcr0652.18",96510125,1200,55.027358,10.377598,"plt01","Crassostrea gigas","Apr","MST0055",NA,"Unknown","Magallana","gigas",2018,"spri","MST0055_2018-04-24",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"13","qpcr0652","qpcr0652.19",93500119,1100,56.625617,10.590433,"plt01","Crassostrea gigas","Apr","MST0064",NA,"Unknown","Magallana","gigas",2018,"spri","MST0064_2018-04-16",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"14","qpcr0652","qpcr0652.19",93730002,1100,56.956667,9.062333,"plt01","Crassostrea gigas","Jun","MST0076",NA,"Unknown","Magallana","gigas",2018,"spri","MST0076_2018-06-06",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"15","qpcr0652","qpcr0652.2",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1E5",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0652.."
"16","qpcr0652","qpcr0652.20",93740007,500,56.620833,9.074833,"plt01","Crassostrea gigas","Jun","MST0088",NA,"Unknown","Magallana","gigas",2018,"spri","MST0088_2018-06-07",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"17","qpcr0652","qpcr0652.20",95700008,1000,54.842127,9.819387,"plt01","Crassostrea gigas","Mar","MST0067",NA,"Unknown","Magallana","gigas",2018,"spri","MST0067_2018-03-21",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"18","qpcr0652","qpcr0652.21",93920064,1600,57.540783,10.479267,"plt01","Crassostrea gigas","Jun","MST0132",NA,"Unknown","Magallana","gigas",2018,"spri","MST0132_2018-06-27",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"19","qpcr0652","qpcr0652.21",95220322,1500,55.139,11.515833,"plt01","Crassostrea gigas","Apr","MST0097",NA,"Unknown","Magallana","gigas",2018,"spri","MST0097_2018-04-18",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"20","qpcr0652","qpcr0652.22",91320001,1150,56.076167,8.224333,"plt01","Crassostrea gigas","Sep","MST0118",NA,"Unknown","Magallana","gigas",2017,"fall","MST0118_2017-09-19",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"21","qpcr0652","qpcr0652.22",93220011,1500,55.713,12.066667,"plt01","Crassostrea gigas","Aug","MST0141",NA,"Unknown","Magallana","gigas",2018,"fall","MST0141_2018-08-16",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"22","qpcr0652","qpcr0652.23",91500007,1450,55.3375,8.350667,"plt01","Crassostrea gigas","Sep","MST0121",NA,"Unknown","Magallana","gigas",2017,"fall","MST0121_2017-09-05",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"23","qpcr0652","qpcr0652.23",94230001,900,55.478233,10.518233,"plt01","Crassostrea gigas","Jun","MST0152",NA,"Unknown","Magallana","gigas",2018,"spri","MST0152_2018-06-04",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"24","qpcr0652","qpcr0652.24",92200001,1350,57.607833,9.915333,"plt01","Crassostrea gigas","Oct","MST0131",NA,"Unknown","Magallana","gigas",2017,"fall","MST0131_2017-10-10",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"25","qpcr0652","qpcr0652.24",93740007,900,56.620833,9.075833,"plt01","Crassostrea gigas","Aug","MST0220",NA,"Unknown","Magallana","gigas",2018,"fall","MST0220_2018-08-30",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"26","qpcr0652","qpcr0652.25",93000005,1800,56.856667,10.791667,"plt01","Crassostrea gigas","Jun","MST0071",NA,"Unknown","Magallana","gigas",2018,"spri","MST0071_2018-06-11",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"27","qpcr0652","qpcr0652.25",93770056,400,56.600833,8.414833,"plt01","Crassostrea gigas","Apr","MST0050",NA,"Unknown","Magallana","gigas",2018,"spri","MST0050_2018-04-25",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"28","qpcr0652","qpcr0652.26",93610032,1610,56.659,9.973333,"plt01","Crassostrea gigas","Jun","MST0074",NA,"Unknown","Magallana","gigas",2018,"spri","MST0074_2018-06-11",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"29","qpcr0652","qpcr0652.26",96510125,1200,55.027358,10.377598,"plt01","Crassostrea gigas","Apr","MST0055",NA,"Unknown","Magallana","gigas",2018,"spri","MST0055_2018-04-24",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"30","qpcr0652","qpcr0652.27",93500119,1100,56.625617,10.590433,"plt01","Crassostrea gigas","Apr","MST0064",NA,"Unknown","Magallana","gigas",2018,"spri","MST0064_2018-04-16",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"31","qpcr0652","qpcr0652.27",93730002,1100,56.956667,9.062333,"plt01","Crassostrea gigas","Jun","MST0076",NA,"Unknown","Magallana","gigas",2018,"spri","MST0076_2018-06-06",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"32","qpcr0652","qpcr0652.28",93740007,500,56.620833,9.074833,"plt01","Crassostrea gigas","Jun","MST0088",NA,"Unknown","Magallana","gigas",2018,"spri","MST0088_2018-06-07",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"33","qpcr0652","qpcr0652.28",95700008,1000,54.842127,9.819387,"plt01","Crassostrea gigas","Mar","MST0067",NA,"Unknown","Magallana","gigas",2018,"spri","MST0067_2018-03-21",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"34","qpcr0652","qpcr0652.29",93920064,1600,57.540783,10.479267,"plt01","Crassostrea gigas","Jun","MST0132",NA,"Unknown","Magallana","gigas",2018,"spri","MST0132_2018-06-27",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"35","qpcr0652","qpcr0652.29",95220322,1500,55.139,11.515833,"plt01","Crassostrea gigas","Apr","MST0097",NA,"Unknown","Magallana","gigas",2018,"spri","MST0097_2018-04-18",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"36","qpcr0652","qpcr0652.3",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1E4",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0652.."
"37","qpcr0652","qpcr0652.30",91320001,1150,56.076167,8.224333,"plt01","Crassostrea gigas","Sep","MST0118",NA,"Unknown","Magallana","gigas",2017,"fall","MST0118_2017-09-19",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"38","qpcr0652","qpcr0652.30",93220011,1500,55.713,12.066667,"plt01","Crassostrea gigas","Aug","MST0141",NA,"Unknown","Magallana","gigas",2018,"fall","MST0141_2018-08-16",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"39","qpcr0652","qpcr0652.31",91500007,1450,55.3375,8.350667,"plt01","Crassostrea gigas","Sep","MST0121",NA,"Unknown","Magallana","gigas",2017,"fall","MST0121_2017-09-05",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"40","qpcr0652","qpcr0652.31",94230001,900,55.478233,10.518233,"plt01","Crassostrea gigas","Jun","MST0152",NA,"Unknown","Magallana","gigas",2018,"spri","MST0152_2018-06-04",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"41","qpcr0652","qpcr0652.32",92200001,1350,57.607833,9.915333,"plt01","Crassostrea gigas","Oct","MST0131",NA,"Unknown","Magallana","gigas",2017,"fall","MST0131_2017-10-10",0,1,0,0,"'1/0/0/0'","Crassostrea gigas.qpcr0652.."
"42","qpcr0652","qpcr0652.32",93740007,900,56.620833,9.075833,"plt01","Crassostrea gigas","Aug","MST0220",NA,"Unknown","Magallana","gigas",2018,"fall","MST0220_2018-08-30",0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0652.."
"43","qpcr0652","qpcr0652.4",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1E3",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0652.."
"44","qpcr0652","qpcr0652.5",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1E2",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0652.."
"45","qpcr0652","qpcr0652.6",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1E1",NA,"Standard","Magallana","gigas",NA,NA,NA,0,0,3,0,"'0/0/3/0'","Crassostrea gigas.qpcr0652.."
"46","qpcr0652","qpcr0652.7",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1E0",NA,"Standard","Magallana","gigas",NA,NA,NA,0,1,0,2,"'1/2/0/0'","Crassostrea gigas.qpcr0652.."
"47","qpcr0652","qpcr0652.8",NA,NA,NA,NA,"plt01","Crassostrea gigas",NA,"std1ENTC",NA,"NTC","Magallana","gigas",NA,NA,NA,0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"48","qpcr0652","qpcr0652.9",99000052,1500,54.999617,13.299867,"plt01","Crassostrea gigas","Aug","MST0003",NA,"Unknown","Magallana","gigas",2017,"fall","MST0003_2017-08-30",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0652.."
"49","qpcr0653","qpcr0653.1",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1E6",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0653.."
"50","qpcr0653","qpcr0653.10",93730002,700,56.954,9.062333,"plt02","Crassostrea gigas","Aug","MST0227",NA,"Unknown","Magallana","gigas",2018,"fall","MST0227_2018-08-29",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"51","qpcr0653","qpcr0653.11",97230016,1600,55.968167,12.566,"plt02","Crassostrea gigas","Jun","MST0230",NA,"Unknown","Magallana","gigas",2018,"spri","MST0230_2018-06-27",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"52","qpcr0653","qpcr0653.12",95600002,1300,54.9975,10.160833,"plt02","Crassostrea gigas","Aug","MST0231",NA,"Unknown","Magallana","gigas",2018,"fall","MST0231_2018-08-17",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"53","qpcr0653","qpcr0653.13",95600002,1500,54.997398,10.161378,"plt02","Crassostrea gigas","Aug","MST0244",NA,"Unknown","Magallana","gigas",2018,"fall","MST0244_2018-08-28",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"54","qpcr0653","qpcr0653.14",94300001,1600,55.674047,10.090607,"plt02","Crassostrea gigas","Aug","MST0257",NA,"Unknown","Magallana","gigas",2018,"fall","MST0257_2018-08-23",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"55","qpcr0653","qpcr0653.15",93220011,1500,55.713,12.066667,"plt02","Crassostrea gigas","Jun","MST0280",NA,"Unknown","Magallana","gigas",2018,"spri","MST0280_2018-06-27",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"56","qpcr0653","qpcr0653.16",99000052,1500,55.015833,13.296667,"plt02","Crassostrea gigas","May","MST0047",NA,"Unknown","Magallana","gigas",2018,"spri","MST0047_2018-05-23",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"57","qpcr0653","qpcr0653.17",95130028,950,55.703333,9.668333,"plt02","Crassostrea gigas","Apr","MST0059",NA,"Unknown","Magallana","gigas",2018,"spri","MST0059_2018-04-05",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"58","qpcr0653","qpcr0653.18",94510035,1100,56.183983,10.59145,"plt02","Crassostrea gigas","May","MST0061",NA,"Unknown","Magallana","gigas",2018,"spri","MST0061_2018-05-28",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"59","qpcr0653","qpcr0653.19",96700057,1750,55.440283,10.803883,"plt02","Crassostrea gigas","May","MST0063",NA,"Unknown","Magallana","gigas",2018,"spri","MST0063_2018-05-03",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"60","qpcr0653","qpcr0653.2",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1E5",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0653.."
"61","qpcr0653","qpcr0653.20",94400007,1500,56.15487,10.318345,"plt02","Crassostrea gigas","May","MST0070",NA,"Unknown","Magallana","gigas",2018,"spri","MST0070_2018-05-15",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"62","qpcr0653","qpcr0653.21",93000001,1500,56.131333,11.157833,"plt02","Crassostrea gigas","May","MST0092",NA,"Unknown","Magallana","gigas",2018,"spri","MST0092_2018-05-15",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"63","qpcr0653","qpcr0653.22",97200002,1500,55.865833,12.749167,"plt02","Crassostrea gigas","May","MST0100",NA,"Unknown","Magallana","gigas",2018,"spri","MST0100_2018-05-14",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"64","qpcr0653","qpcr0653.23",96220363,1400,55.161633,11.65835,"plt02","Crassostrea gigas","Jul","MST0107",NA,"Unknown","Magallana","gigas",2018,"spri","MST0107_2018-07-06",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"65","qpcr0653","qpcr0653.24",91320001,600,56.076167,8.224333,"plt02","Crassostrea gigas","May","MST0115",NA,"Unknown","Magallana","gigas",2018,"spri","MST0115_2018-05-15",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"66","qpcr0653","qpcr0653.25",91650035,300,55.0933,8.56825,"plt02","Crassostrea gigas","May","MST0126",NA,"Unknown","Magallana","gigas",2018,"spri","MST0126_2018-05-25",0,0,3,0,"'0/0/3/0'","Crassostrea gigas.qpcr0653.."
"67","qpcr0653","qpcr0653.26",99000049,1200,55.25,15.983333,"plt02","Crassostrea gigas","May","MST0223",NA,"Unknown","Magallana","gigas",2018,"spri","MST0223_2018-05-29",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"68","qpcr0653","qpcr0653.27",94300001,NA,55.67411,10.09041,"plt02","Crassostrea gigas","May","MST0229",NA,"Unknown","Magallana","gigas",2018,"spri","MST0229_2018-05-16",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"69","qpcr0653","qpcr0653.28",93210013,1500,55.8675,11.787833,"plt02","Crassostrea gigas","Apr","MST0284",NA,"Unknown","Magallana","gigas",2018,"spri","MST0284_2018-04-03",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"70","qpcr0653","qpcr0653.29",91500007,1500,55.33885,8.349417,"plt02","Crassostrea gigas","May","MST0286",NA,"Unknown","Magallana","gigas",2018,"spri","MST0286_2018-05-15",0,2,0,1,"'2/1/0/0'","Crassostrea gigas.qpcr0653.."
"71","qpcr0653","qpcr0653.3",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1E4",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0653.."
"72","qpcr0653","qpcr0653.30",94300001,1600,56.131667,11.156667,"plt02","Crassostrea gigas","Sep","MST0218",NA,"Unknown","Magallana","gigas",2018,"fall","MST0218_2018-09-19",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"73","qpcr0653","qpcr0653.31",94230001,1100,55.478275,10.51792,"plt02","Crassostrea gigas","Sep","MST0237",NA,"Unknown","Magallana","gigas",2018,"fall","MST0237_2018-09-10",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"74","qpcr0653","qpcr0653.32",94400007,1600,56.154495,10.319002,"plt02","Crassostrea gigas","Sep","MST0211",NA,"Unknown","Magallana","gigas",2018,"fall","MST0211_2018-09-25",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"75","qpcr0653","qpcr0653.4",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1E3",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0653.."
"76","qpcr0653","qpcr0653.5",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1E2",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0653.."
"77","qpcr0653","qpcr0653.6",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1E1",NA,"Standard","Magallana","gigas",NA,NA,NA,0,0,3,0,"'0/0/3/0'","Crassostrea gigas.qpcr0653.."
"78","qpcr0653","qpcr0653.7",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1E0",NA,"Standard","Magallana","gigas",NA,NA,NA,0,2,0,1,"'2/1/0/0'","Crassostrea gigas.qpcr0653.."
"79","qpcr0653","qpcr0653.8",NA,NA,NA,NA,"plt02","Crassostrea gigas",NA,"std1ENTC",NA,"NTC","Magallana","gigas",NA,NA,NA,0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"80","qpcr0653","qpcr0653.9",97200002,1300,55.865833,12.749167,"plt02","Crassostrea gigas","Aug","MST0221",NA,"Unknown","Magallana","gigas",2018,"fall","MST0221_2018-08-29",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0653.."
"81","qpcr0654","qpcr0654.1",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1E6",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0654.."
"82","qpcr0654","qpcr0654.10",93000005,1500,56.856667,10.791667,"plt03","Crassostrea gigas","Sep","MST0197",NA,"Unknown","Magallana","gigas",2018,"fall","MST0197_2018-09-03",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"83","qpcr0654","qpcr0654.11",99210007,1100,54.740283,12.099767,"plt03","Crassostrea gigas","Sep","MST0109",NA,"Unknown","Magallana","gigas",2018,"fall","MST0109_2018-09-25",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"84","qpcr0654","qpcr0654.12",99000049,1500,55.25,15.983333,"plt03","Crassostrea gigas","Sep","MST0242",NA,"Unknown","Magallana","gigas",2018,"fall","MST0242_2018-09-18",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"85","qpcr0654","qpcr0654.13",93610032,1500,56.662733,9.974033,"plt03","Crassostrea gigas","Sep","MST0194",NA,"Unknown","Magallana","gigas",2018,"fall","MST0194_2018-09-04",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"86","qpcr0654","qpcr0654.14",98210012,1100,54.734667,11.0912,"plt03","Crassostrea gigas","Oct","MST0110",NA,"Unknown","Magallana","gigas",2018,"fall","MST0110_2018-10-10",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"87","qpcr0654","qpcr0654.15",91320001,420,56.076167,8.224333,"plt03","Crassostrea gigas","Sep","MST0243",NA,"Unknown","Magallana","gigas",2018,"fall","MST0243_2018-09-04",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"88","qpcr0654","qpcr0654.16",91500007,1200,55.337583,8.350617,"plt03","Crassostrea gigas","Aug","MST0128",NA,"Unknown","Magallana","gigas",2018,"fall","MST0128_2018-08-07",0,0,3,0,"'0/0/3/0'","Crassostrea gigas.qpcr0654.."
"89","qpcr0654","qpcr0654.17",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"MSTEX02","MSTEX02","Unknown","Magallana","gigas",NA,NA,NA,0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0654.."
"90","qpcr0654","qpcr0654.18",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"MSTEX03","MSTEX03","Unknown","Magallana","gigas",NA,NA,NA,0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0654.."
"91","qpcr0654","qpcr0654.19",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"MSTEX04","MSTEX04","Unknown","Magallana","gigas",NA,NA,NA,0,2,0,0,"'2/0/0/0'","Crassostrea gigas.qpcr0654.."
"92","qpcr0654","qpcr0654.2",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1E5",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0654.."
"93","qpcr0654","qpcr0654.3",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1E4",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0654.."
"94","qpcr0654","qpcr0654.4",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1E3",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0654.."
"95","qpcr0654","qpcr0654.5",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1E2",NA,"Standard","Magallana","gigas",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Crassostrea gigas.qpcr0654.."
"96","qpcr0654","qpcr0654.6",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1E1",NA,"Standard","Magallana","gigas",NA,NA,NA,0,0,3,0,"'0/0/3/0'","Crassostrea gigas.qpcr0654.."
"97","qpcr0654","qpcr0654.7",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1E0",NA,"Standard","Magallana","gigas",NA,NA,NA,0,2,0,1,"'2/1/0/0'","Crassostrea gigas.qpcr0654.."
"98","qpcr0654","qpcr0654.8",NA,NA,NA,NA,"plt03","Crassostrea gigas",NA,"std1ENTC",NA,"NTC","Magallana","gigas",NA,NA,NA,0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"99","qpcr0654","qpcr0654.9",99000052,1500,55.000833,13.296167,"plt03","Crassostrea gigas","Aug","MST0235",NA,"Unknown","Magallana","gigas",2018,"fall","MST0235_2018-08-31",0,3,0,0,"'3/0/0/0'","Crassostrea gigas.qpcr0654.."
"100","qpcr0655","qpcr0655.1",NA,NA,NA,NA,"plt01","Karenia mikimotoi",NA,"std1E6",NA,"Standard","Karenia","mikimotoi",NA,NA,NA,3,0,0,0,"'0/0/0/3'","Karenia mikimotoi.qpcr0655.."
"101","qpcr0655","qpcr0655.10",93000001,1100,56.132217,11.157867,"plt01","Karenia mikimotoi","Aug","MST0012",NA,"Unknown","Karenia","mikimotoi",2017,"fall","MST0012_2017-08-29",0,3,0,0,"'3/0/0/0'","Karenia mikimotoi.qpcr0655.."
"102","qpcr0655","qpcr0655.11",93740007,710,56.622167,9.075833,"plt01","Karenia mikimotoi","Sep","MST0019",NA,"Unknown","Karenia","mikimotoi",2017,"fall","MST0019_2017-09-12",3,0,0,0,"'0/0/0/3'","Karenia mikimotoi.qpcr0655.."
"103","qpcr0655","qpcr0655.12",95600002,1400,54.997667,10.160333,"plt01","Karenia mikimotoi","Sep","MST0029",NA,"Unknown","Karenia","mikimotoi",2017,"fall","MST0029_2017-09-25",0,3,0,0,"'3/0/0/0'","Karenia mikimotoi.qpcr0655.."
"104","qpcr0655","qpcr0655.13",94300001,800,55.674383,10.090417,"plt01","Karenia mikimotoi","Sep","MST0032",NA,"Unknown","Karenia","mikimotoi",2017,"fall","MST0032_2017-09-20",0,3,0,0,"'3/0/0/0'","Karenia mikimotoi.qpcr0655.."
